20150619T141153.057588;imread;249;ms;
20150619T141153.092590;resizing;11;ms;CV_INTER_NN
20150619T141157.208826;contoursFunction;4111;ms;
20150619T141157.598848;imread;388;ms;
20150619T141157.616849;resizing;8;ms;CV_INTER_NN
20150619T141158.488899;contoursFunction;866;ms;
20150619T141158.782916;imread;293;ms;
20150619T141158.800917;resizing;7;ms;CV_INTER_NN
20150619T141202.401123;contoursFunction;3596;ms;
20150619T141202.732142;imread;329;ms;
20150619T141202.751143;resizing;7;ms;CV_INTER_NN
20150619T141207.527416;contoursFunction;4772;ms;
20150619T141207.875436;imread;346;ms;
20150619T141207.893437;resizing;7;ms;CV_INTER_NN
20150619T141209.757543;contoursFunction;1859;ms;
20150619T141210.149566;imread;390;ms;
20150619T141210.168567;resizing;7;ms;CV_INTER_NN
20150619T141215.604878;contoursFunction;5432;ms;
20150619T141215.965899;imread;359;ms;
20150619T141215.984900;resizing;7;ms;CV_INTER_NN
20150619T141230.184712;contoursFunction;14193;ms;
20150619T141230.536732;imread;350;ms;
20150619T141230.556733;resizing;7;ms;CV_INTER_NN
20150619T141233.833921;contoursFunction;3272;ms;
20150619T141234.256945;imread;421;ms;
20150619T141234.276946;resizing;8;ms;CV_INTER_NN
20150619T141238.080163;contoursFunction;3797;ms;
20150619T141238.544190;imread;462;ms;
20150619T141238.564191;resizing;8;ms;CV_INTER_NN
20150619T141241.946385;contoursFunction;3378;ms;
20150619T141242.392410;imread;443;ms;
20150619T141242.411411;resizing;7;ms;CV_INTER_NN
20150619T141246.742659;contoursFunction;4326;ms;
20150619T141247.160683;imread;417;ms;
20150619T141247.179684;resizing;8;ms;CV_INTER_NN
20150619T141252.296977;contoursFunction;5113;ms;
20150619T141252.638996;imread;339;ms;
20150619T141252.657997;resizing;7;ms;CV_INTER_NN
20150619T141256.029190;contoursFunction;3366;ms;
20150619T141256.441214;imread;411;ms;
20150619T141256.461215;resizing;7;ms;CV_INTER_NN
20150619T141301.280490;contoursFunction;4815;ms;
20150619T141301.547506;imread;266;ms;
20150619T141301.567507;resizing;7;ms;CV_INTER_NN
20150619T141302.351552;contoursFunction;780;ms;
20150619T141302.755575;imread;401;ms;
20150619T141302.774576;resizing;7;ms;CV_INTER_NN
20150619T141311.341066;contoursFunction;8562;ms;
20150619T141311.700086;imread;357;ms;
20150619T141311.719087;resizing;7;ms;CV_INTER_NN
20150619T141511.042912;imread;41344;ms;
20150619T141542.062687;resizing;16;ms;CV_INTER_NN
20150619T141602.060830;contoursFunction;3890;ms;
20150619T141612.813445;imread;399;ms;
20150619T141626.050203;resizing;22;ms;CV_INTER_NN
20150619T141626.941254;contoursFunction;882;ms;
20150619T141627.232270;imread;288;ms;
20150619T141627.252271;resizing;7;ms;CV_INTER_NN
20150619T141637.959884;contoursFunction;10702;ms;
20150619T141638.292903;imread;331;ms;
20150619T141638.310904;resizing;7;ms;CV_INTER_NN
20150619T141643.701212;contoursFunction;5386;ms;
20150619T141644.033231;imread;331;ms;
20150619T141644.052232;resizing;7;ms;CV_INTER_NN
20150619T141645.943340;contoursFunction;1886;ms;
20150619T141646.312361;imread;368;ms;
20150619T141646.332363;resizing;8;ms;CV_INTER_NN
20150619T141651.457656;contoursFunction;5121;ms;
20150619T141651.815676;imread;357;ms;
20150619T141651.834677;resizing;7;ms;CV_INTER_NN
20150619T141706.980544;contoursFunction;15141;ms;
20150619T141707.324563;imread;341;ms;
20150619T141707.347565;resizing;10;ms;CV_INTER_NN
